,week,position,name,overall_rank,Andy Behrens,Scott Pianowski,Dalton Del Don,Matt Harmon,Kate Magdziuk,Tera Roberts,points,ranking,overall_rank_error,Andy Behrens_error,Scott Pianowski_error,Dalton Del Don_error,Matt Harmon_error,Kate Magdziuk_error,Tera Roberts_error
129,5,K,Chase McLaughlin,7.0,6.0,10.0,9.0,7.0,5.0,9.0,16,2.0,5.0,4.0,8.0,7.0,5.0,3.0,7.0
130,5,K,Evan McPherson,8.0,8.0,8.0,8.0,9.0,7.0,6.0,4,24.0,16.0,16.0,16.0,16.0,15.0,17.0,18.0
131,5,K,Tyler Bass,9.0,9.0,9.0,11.0,8.0,9.0,8.0,8,17.0,8.0,8.0,8.0,6.0,9.0,8.0,9.0
132,5,K,Jason Myers,10.0,11.0,11.0,4.0,10.0,10.0,10.0,10,12.0,2.0,1.0,1.0,8.0,2.0,2.0,2.0
133,5,K,Cairo Santos,11.0,12.0,,12.0,12.0,8.0,11.0,6,20.0,9.0,8.0,,8.0,8.0,12.0,9.0
134,5,K,Chris Boswell,12.0,,7.0,,,,12.0,6,20.0,8.0,,13.0,,,,8.0
135,5,K,Dustin Hopkins,,,,,,,,9,16.0,,,,,,,
136,5,K,Blake Grupe,,10.0,,,,,,1,27.0,,17.0,,,,,
137,5,K,Austin Seibert,,,12.0,,,,,10,12.0,,,0.0,,,,
138,5,K,Wil Lutz,,,,10.0,,,,13,7.0,,,,3.0,,,
139,5,K,Will Reichard,,,,,,,,16,2.0,,,,,,,
140,5,K,Matt Gay,,,,,,,,10,12.0,,,,,,,
141,5,K,Greg Zuerlein,,,,,,,,5,22.0,,,,,,,
142,5,K,Cam Little,,,,,,,,14,5.0,,,,,,,
143,5,K,Brayden Narveson,,,,,,,,7,19.0,,,,,,,
144,5,K,Daniel Carlson,,,,,,,,5,22.0,,,,,,,
145,5,K,Eddy Pineiro,,,,,,,,4,24.0,,,,,,,
146,5,K,Joshua Karty,,,,,,,,1,27.0,,,,,,,
147,5,K,Joey Slye,,,,,,,,4,24.0,,,,,,,
148,5,K,Chad Ryland,,,,,,12.0,,11,10.0,,,,,,2.0,
149,5,K,Jason Sanders,,,,,,,,12,9.0,,,,,,,
150,5,K,Greg Joseph,,,,,,,,11,10.0,,,,,,,
151,6,K,Brandon Aubrey,1.0,1.0,1.0,1.0,1.0,2.0,1.0,12,6.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0
152,6,K,Younghoe Koo,2.0,3.0,3.0,3.0,3.0,1.0,2.0,12,6.0,4.0,3.0,3.0,3.0,3.0,5.0,4.0
153,6,K,Ka'imi Fairbairn,3.0,2.0,2.0,7.0,5.0,4.0,4.0,12,6.0,3.0,4.0,4.0,1.0,1.0,2.0,2.0
154,6,K,Justin Tucker,4.0,4.0,4.0,4.0,2.0,6.0,6.0,13,4.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0
155,6,K,Chase McLaughlin,5.0,5.0,5.0,6.0,4.0,3.0,3.0,9,14.0,9.0,9.0,9.0,8.0,10.0,11.0,11.0
156,6,K,Evan McPherson,6.0,6.0,6.0,8.0,6.0,7.0,5.0,5,21.0,15.0,15.0,15.0,13.0,15.0,14.0,16.0
157,6,K,Chris Boswell,7.0,11.0,7.0,5.0,7.0,8.0,7.0,17,2.0,5.0,9.0,5.0,3.0,5.0,6.0,5.0
158,6,K,Austin Seibert,8.0,7.0,8.0,12.0,8.0,5.0,8.0,15,3.0,5.0,4.0,5.0,9.0,5.0,2.0,5.0
159,6,K,Jake Elliott,9.0,10.0,12.0,2.0,12.0,12.0,11.0,10,12.0,3.0,2.0,0.0,10.0,0.0,0.0,1.0
160,6,K,Jason Myers,10.0,12.0,11.0,9.0,10.0,10.0,9.0,6,19.0,9.0,7.0,8.0,10.0,9.0,9.0,10.0
161,6,K,Tyler Bass,11.0,9.0,9.0,,11.0,11.0,10.0,5,21.0,10.0,12.0,12.0,,10.0,10.0,11.0
162,6,K,Cameron Dicker,12.0,8.0,10.0,,9.0,9.0,,12,6.0,6.0,2.0,4.0,,3.0,3.0,
163,6,K,Greg Joseph,,,,,,,,1,27.0,,,,,,,
164,6,K,Cairo Santos,,,,11.0,,,,5,21.0,,,,10.0,,,
165,6,K,Jake Bates,,,,,,,,19,1.0,,,,,,,
166,6,K,Brayden Narveson,,,,,,,12.0,11,11.0,,,,,,,1.0
167,6,K,Blake Grupe,,,,,,,,10,12.0,,,,,,,
168,6,K,Matt Gay,,,,,,,,8,16.0,,,,,,,
169,6,K,Wil Lutz,,,,,,,,5,21.0,,,,,,,
170,6,K,Nick Folk,,,,,,,,6,19.0,,,,,,,
171,6,K,Cam Little,,,,,,,,4,25.0,,,,,,,
